equipment_id,equipment_type,operating_hours,downtime_hours,utilization_rate,maintenance_cost
EQP-00962,Compressor,4785,41.58,0.9914,3305.02
EQP-00963,Forklift,9025,30.97,0.9966,8430.74
EQP-00964,Crane,7262,51.04,0.993,587.24
EQP-00965,Excavator,16644,35.75,0.9979,750.7
EQP-00966,Manlift,17352,23.87,0.9986,693.95
EQP-00967,Manlift,12670,11.16,0.9991,380.35
EQP-00968,Manlift,4114,45.31,0.9891,4350.52
EQP-00969,Forklift,6845,33.79,0.9951,1655.46
EQP-00970,Forklift,18645,10.02,0.9995,1836.18
EQP-00971,Generator,3854,42.28,0.9891,4254.19
EQP-00972,Compressor,19820,84.44,0.9958,13133.74
EQP-00973,Crane,18199,34.8,0.9981,1814.7
EQP-00974,Crane,7502,17.88,0.9976,546.63
EQP-00975,Forklift,278,12.82,0.9559,437.82
EQP-00976,Manlift,1358,42.33,0.9698,6601.36
EQP-00977,Excavator,247,27.72,0.8991,56138.74
EQP-00978,Forklift,14392,12.94,0.9991,494.73
EQP-00979,Welding Machine,18906,143.16,0.9925,611.24
EQP-00980,Generator,1410,27.42,0.9809,1364.37
EQP-00981,Forklift,5795,44.61,0.9924,2039.89
EQP-00982,Compressor,8556,53.65,0.9938,8656.18
EQP-00983,Crane,19272,8.45,0.9996,1203.94
EQP-00984,Forklift,8380,56.88,0.9933,11148.06
EQP-00985,Concrete Pump,8767,39.02,0.9956,5237.88
EQP-00986,Compressor,7856,88.03,0.9889,2068.94
EQP-00987,Crane,16258,38.7,0.9976,13153.73
EQP-00988,Generator,10697,79.79,0.9926,2789.05
EQP-00989,Excavator,13937,17.87,0.9987,2753.34
EQP-00990,Excavator,13249,34.01,0.9974,1197.7
EQP-00991,Concrete Pump,3699,19.59,0.9947,14348.93
EQP-00992,Welding Machine,6402,48.54,0.9925,2236.43
EQP-00993,Welding Machine,8546,13.68,0.9984,1419.89
EQP-00994,Compressor,9036,7.07,0.9992,3950.17
EQP-00995,Concrete Pump,14770,18.88,0.9987,4338.37
EQP-00996,Concrete Pump,8122,56.48,0.9931,4415.57
EQP-00997,Generator,16303,24.93,0.9985,1133.31
EQP-00998,Generator,18647,11.92,0.9994,12530.91
EQP-00999,Forklift,2224,41.2,0.9818,2067.5
EQP-01000,Compressor,544,51.41,0.9137,10036.59
